Date:  14:13, Friday, November 04, 2022
Model name: 3DhoneyAssem
Study name: StarHoneycomb(-Default-)
Plot type: Static displacement Displacement2
Result Type: UY 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
238  ,1.402e-01  ,76.06698608  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
239  ,-9.755e-01  ,92.40179443  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
240  ,-1.099e+00  ,108.73659515  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
241  ,2.445e-01  ,125.07140350  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
242  ,-9.936e-01  ,141.40620422  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
243  ,-8.956e-01  ,157.74101257  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
244  ,1.431e-01  ,172.99040222  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
245  ,-1.095e+00  ,185.18344116  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
246  ,-1.133e+00  ,193.98783875  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
247  ,1.689e-01  ,200.39462280  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
248  ,1.593e-01  ,205.63903809  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
249  ,1.616e-01  ,210.23953247  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
250  ,1.617e-01  ,214.78247070  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
251  ,-6.441e-04  ,-14.62831879  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
252  ,-1.623e-03  ,-9.89825249  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
253  ,-9.184e-03  ,-5.30660629  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
254  ,-1.516e-01  ,-0.01513537  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
255  ,-1.294e+00  ,6.52813816  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
256  ,-1.198e+00  ,15.55172920  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
257  ,-9.143e-02  ,28.01549530  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
258  ,-7.961e-01  ,43.41113281  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
259  ,-1.128e+00  ,59.74555969  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
260  ,1.110e-01  ,76.07998657  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
261  ,-9.939e-01  ,92.41441345  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
262  ,-1.078e+00  ,108.74884796  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
263  ,2.261e-01  ,125.08326721  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
264  ,-1.002e+00  ,141.41769409  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
265  ,-8.938e-01  ,157.75212097  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
266  ,1.595e-01  ,172.99533081  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
267  ,-1.107e+00  ,185.18444824  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
268  ,-1.112e+00  ,193.98866272  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
269  ,3.818e-02  ,200.39526367  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
270  ,1.783e-01  ,205.63967896  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
271  ,1.915e-01  ,210.23982239  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
272  ,1.897e-01  ,214.78254700  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
1125  ,-9.935e-01  ,3.25254059  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1126  ,-9.924e-01  ,3.25650144  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
1127  ,-1.300e+00  ,6.52417707  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1159  ,1.518e-01  ,172.99285889  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1163  ,-7.802e-02  ,28.01019287  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1164  ,-1.092e+00  ,35.70643997  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1165  ,-1.090e+00  ,35.70113373  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1173  ,-1.203e+00  ,15.54783726  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1174  ,-1.566e-01  ,21.77831078  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1175  ,-1.594e-01  ,21.77441788  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1313  ,-7.491e-03  ,-2.66600394  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1316  ,-1.154e-01  ,-0.01833483  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1379  ,1.089e+00  ,34.92506409  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
1440  ,-1.318e+00  ,11.03604221  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1441  ,-1.318e+00  ,11.03993320  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
1446  ,-1.323e+00  ,11.03208065  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1572  ,1.158e+00  ,58.86232758  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
1573  ,-1.724e-02  ,50.73587799  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
1574  ,-1.379e-02  ,50.68996429  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
1577  ,-1.138e+00  ,59.73887634  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1578  ,-5.669e-01  ,67.90627289  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1579  ,-5.599e-01  ,67.89958191  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1583  ,1.261e-01  ,76.07348633  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1588  ,-9.866e-01  ,92.40810394  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1589  ,5.855e-02  ,100.57550812  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1590  ,7.997e-02  ,100.56919861  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
1597  ,-1.059e+00  ,84.24089050  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1805  ,1.082e+00  ,34.87541580  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
1806  ,2.464e-02  ,27.24137306  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
1807  ,1.080e+00  ,34.83017349  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
